epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,524.551,2.41758,2.64949,1.59045,0.4627,0.77612,0.61215,0.46364,2.1333,3.42136,1.54218,0.000524625,0.000524625,0.000524625
59,533.336,2.19217,2.54787,1.58076,0.51899,0.73747,0.63164,0.4858,2.06807,3.3266,1.54365,0.000524074,0.000524074,0.000524074
60,541.141,2.39171,2.54624,1.59667,0.62219,0.6071,0.64755,0.51312,1.86538,3.21338,1.53656,0.000523524,0.000523524,0.000523524
61,550.737,2.36991,2.47111,1.59367,0.65385,0.56419,0.65084,0.50494,1.92112,3.14986,1.53872,0.000522974,0.000522974,0.000522974
62,558.491,2.48062,2.63203,1.59137,0.6924,0.55217,0.66922,0.49986,2.09957,3.05773,1.53933,0.000522423,0.000522423,0.000522423
63,565.666,2.19494,2.40084,1.57791,0.72841,0.50776,0.68514,0.53497,1.97874,2.97721,1.53751,0.000521873,0.000521873,0.000521873
64,573.148,2.26154,2.37914,1.58721,0.68907,0.57848,0.69566,0.54026,1.93004,2.7415,1.53885,0.000521322,0.000521322,0.000521322
65,583.816,2.26931,2.44146,1.58239,0.69066,0.60114,0.71066,0.53861,2.00253,2.65363,1.53734,0.000520772,0.000520772,0.000520772
66,594.21,2.19365,2.32112,1.5793,0.70965,0.59675,0.72353,0.57087,1.85835,2.65289,1.5345,0.000520221,0.000520221,0.000520221
67,602.775,2.36828,2.24347,1.58696,0.71211,0.60146,0.72533,0.54759,2.11521,2.63595,1.5385,0.000519671,0.000519671,0.000519671
68,611.107,2.15274,2.14044,1.57701,0.71654,0.64415,0.74553,0.52874,2.43349,2.52934,1.54671,0.000519121,0.000519121,0.000519121
69,618.741,2.22569,2.13886,1.58213,0.73538,0.64935,0.75353,0.5748,1.95927,2.5006,1.53732,0.00051857,0.00051857,0.00051857
70,627.542,2.13575,2.13839,1.58438,0.75826,0.65886,0.7675,0.61075,1.80384,2.39442,1.53229,0.00051802,0.00051802,0.00051802
71,635.217,2.14811,2.15564,1.58568,0.76586,0.68919,0.78082,0.60379,1.94067,2.3217,1.53294,0.000517469,0.000517469,0.000517469
72,643.066,2.00849,1.96747,1.57438,0.7402,0.66512,0.77882,0.61393,1.85736,2.38733,1.53423,0.000516919,0.000516919,0.000516919
73,653.189,2.12955,2.03696,1.58561,0.74737,0.66785,0.77588,0.61959,1.78575,2.41874,1.53228,0.000516368,0.000516368,0.000516368
74,660.475,2.17452,1.97434,1.56637,0.77967,0.69546,0.7952,0.57694,2.36498,2.28846,1.54173,0.000515818,0.000515818,0.000515818
75,668.734,2.31886,2.10856,1.58054,0.79539,0.70894,0.80767,0.64835,1.80319,2.20926,1.53151,0.000515267,0.000515267,0.000515267
76,677.407,2.46116,1.95081,1.58165,0.79611,0.6865,0.79451,0.54868,2.59144,2.33251,1.5554,0.000514717,0.000514717,0.000514717
77,684.075,2.8316,2.07306,1.59306,0.78686,0.69671,0.80054,0.5913,2.27568,2.21779,1.54665,0.000514167,0.000514167,0.000514167
78,692.374,2.39105,2.0822,1.57992,0.77542,0.75825,0.83192,0.58484,2.38468,2.03028,1.54243,0.000513616,0.000513616,0.000513616
79,696.546,2.81891,2.09087,1.59329,0.78237,0.75683,0.83708,0.54566,2.76311,2.01113,1.55469,0.000513066,0.000513066,0.000513066
80,707.507,2.72903,2.09471,1.59582,0.80188,0.73417,0.85395,0.63016,2.11877,1.87538,1.53552,0.000512515,0.000512515,0.000512515
81,715.66,2.25718,1.87061,1.57178,0.81743,0.75106,0.85468,0.66159,1.92402,1.88788,1.52648,0.000511965,0.000511965,0.000511965
82,724.866,2.52825,2.04859,1.58656,0.819,0.79066,0.85414,0.66113,1.94627,1.78608,1.52692,0.000511414,0.000511414,0.000511414
83,734.521,2.38406,1.94635,1.58643,0.83156,0.799,0.85969,0.66618,1.95803,1.66275,1.52735,0.000510864,0.000510864,0.000510864
84,740.887,2.19822,1.85812,1.57587,0.81753,0.75221,0.85427,0.67133,1.84373,1.57268,1.52637,0.000510313,0.000510313,0.000510313
85,746.941,2.19155,1.92242,1.58047,0.81849,0.74935,0.86197,0.6875,1.83631,1.57376,1.52342,0.000509763,0.000509763,0.000509763
86,753.36,2.03191,1.76117,1.57167,0.82203,0.79054,0.88342,0.71066,1.78612,1.54714,1.5237,0.000509213,0.000509213,0.000509213
87,761.228,2.28582,1.9,1.56933,0.8323,0.7856,0.88957,0.69367,1.86236,1.55847,1.52599,0.000508662,0.000508662,0.000508662
88,769.526,2.14382,1.83718,1.58979,0.82653,0.81689,0.90303,0.71658,1.80064,1.4326,1.52646,0.000508112,0.000508112,0.000508112
89,775.108,2.00306,1.71778,1.58332,0.86309,0.81096,0.90727,0.72723,1.7254,1.36159,1.52387,0.000507561,0.000507561,0.000507561
90,782.782,2.09583,1.75206,1.57988,0.87208,0.78057,0.90348,0.73431,1.73678,1.32428,1.52507,0.000507011,0.000507011,0.000507011
91,790.425,2.1734,1.8199,1.58565,0.8669,0.79599,0.90559,0.70924,1.89584,1.31208,1.52876,0.00050646,0.00050646,0.00050646
92,797.132,2.07509,1.71773,1.58705,0.90004,0.78495,0.90826,0.70113,1.94572,1.34702,1.52741,0.00050591,0.00050591,0.00050591
93,802.333,2.03749,1.71825,1.57501,0.89027,0.80058,0.90994,0.73062,1.78477,1.33564,1.52376,0.00050536,0.00050536,0.00050536
94,811.071,2.0026,1.70372,1.57681,0.90873,0.81374,0.92269,0.74124,1.74016,1.27466,1.52212,0.000504809,0.000504809,0.000504809
95,817.837,2.1533,1.71958,1.57848,0.90412,0.82368,0.92802,0.73742,1.8044,1.23448,1.52426,0.000504259,0.000504259,0.000504259
96,824.433,2.13885,1.68035,1.57157,0.89259,0.84446,0.93459,0.73888,1.7913,1.21659,1.5227,0.000503708,0.000503708,0.000503708
97,831.141,2.0509,1.67983,1.57683,0.88898,0.83564,0.92981,0.75512,1.67588,1.2487,1.52143,0.000503158,0.000503158,0.000503158
98,839.576,2.61186,1.78468,1.58351,0.88982,0.82443,0.92242,0.72504,1.82245,1.308,1.52163,0.000502607,0.000502607,0.000502607
99,847.984,2.07901,1.63933,1.58023,0.90051,0.82881,0.92727,0.75731,1.68992,1.22107,1.51936,0.000502057,0.000502057,0.000502057
100,856.833,2.01698,1.60458,1.57864,0.91235,0.81564,0.93562,0.76204,1.64463,1.16347,1.52045,0.000501506,0.000501506,0.000501506
101,862.902,1.84531,1.45495,1.56273,0.88213,0.83781,0.93227,0.7702,1.59502,1.18118,1.51852,0.000500956,0.000500956,0.000500956
102,873.087,2.15022,1.65607,1.56789,0.86024,0.86863,0.93234,0.75855,1.64158,1.1933,1.5164,0.000500406,0.000500406,0.000500406
103,878.786,2.11911,1.60823,1.57345,0.88497,0.848,0.93619,0.74571,1.76678,1.18494,1.52106,0.000499855,0.000499855,0.000499855
104,885.04,2.0937,1.59898,1.57309,0.90761,0.83291,0.93727,0.76992,1.58789,1.15766,1.52037,0.000499305,0.000499305,0.000499305
105,889.654,1.92705,1.45782,1.57396,0.90273,0.83657,0.93726,0.73238,1.91122,1.23982,1.52386,0.000498754,0.000498754,0.000498754
106,896.721,2.19228,1.51476,1.57795,0.86634,0.84882,0.9244,0.76367,1.6204,1.24216,1.51754,0.000498204,0.000498204,0.000498204
107,904.596,2.08225,1.54565,1.57638,0.89565,0.83109,0.92729,0.72023,1.87371,1.24708,1.52668,0.000497653,0.000497653,0.000497653
108,911.875,2.04136,1.56513,1.57264,0.92324,0.84124,0.94753,0.71594,1.97243,1.1149,1.52317,0.000497103,0.000497103,0.000497103
109,919.258,1.97655,1.43327,1.57261,0.88119,0.87663,0.94767,0.77197,1.65648,1.0783,1.5146,0.000496552,0.000496552,0.000496552
110,925.422,1.9921,1.45807,1.57036,0.90294,0.8688,0.94523,0.71057,2.10311,1.16608,1.52607,0.000496002,0.000496002,0.000496002
111,931.783,2.13622,1.52566,1.56986,0.88703,0.87656,0.9418,0.76392,1.60289,1.08994,1.51528,0.000495452,0.000495452,0.000495452
112,938.174,1.93048,1.4759,1.56309,0.89903,0.87041,0.94662,0.78603,1.50688,1.02689,1.51601,0.000494901,0.000494901,0.000494901
113,945.416,1.77819,1.35173,1.56686,0.90623,0.86542,0.94899,0.78954,1.55167,1.02092,1.51817,0.000494351,0.000494351,0.000494351
114,950.853,1.95596,1.46151,1.57995,0.91388,0.87817,0.95061,0.75876,1.70434,1.01105,1.52162,0.0004938,0.0004938,0.0004938
